Table_Source,Day,Start_Time,End_Time,Batch_ID,Subject,Faculty,Room_No
SY CE/IT-II (Img 2),MON,12:30 PM,01:30 PM,B5,PYTHON-1,SHP,407
SY CE/IT-II (Img 2),MON,12:30 PM,01:30 PM,B6,DE,PDO,405
SY CE/IT-II (Img 2),MON,12:30 PM,01:30 PM,B7,DE,VBY,409
SY CE/IT-II (Img 2),MON,12:30 PM,01:30 PM,B8,PYTHON-1,TAT,406-4
SY CE/IT-II (Img 2),TUE,08:45 AM,09:45 AM,B1,PS,DDP,403
SY CE/IT-II (Img 2),TUE,08:45 AM,09:45 AM,B2,PYTHON-1,TAT,406-1
SY CE/IT-II (Img 2),TUE,08:45 AM,09:45 AM,B3,FSD-1,NAS,515-B
SY CE/IT-II (Img 2),TUE,08:45 AM,09:45 AM,B4,PYTHON-1,DVP,406-3
SY CE/IT-II (Img 2),TUE,08:45 AM,09:45 AM,B5,FSD-1,PBZ,407
SY CE/IT-II (Img 2),TUE,08:45 AM,09:45 AM,B6,PS,MSS,405
SY CE/IT-II (Img 2),TUE,08:45 AM,09:45 AM,B7,DE,VBY,409
SY CE/IT-II (Img 2),TUE,08:45 AM,09:45 AM,B8,FSD-1,MJT,406-4
SY CE/IT-II (Img 2),TUE,08:45 AM,09:45 AM,B9,PYTHON-1,PKV,406-5
SY CE/IT-II (Img 2),TUE,09:45 AM,10:45 AM,B1,PS,DDP,403
SY CE/IT-II (Img 2),TUE,09:45 AM,10:45 AM,B2,PYTHON-1,TAT,406-1
SY CE/IT-II (Img 2),TUE,09:45 AM,10:45 AM,B3,FSD-1,NAS,515-B
SY CE/IT-II (Img 2),TUE,09:45 AM,10:45 AM,B4,PYTHON-1,DVP,406-3
SY CE/IT-II (Img 2),TUE,09:45 AM,10:45 AM,B5,FSD-1,PBZ,407
SY CE/IT-II (Img 2),TUE,09:45 AM,10:45 AM,B6,DE,PDO,405
SY CE/IT-II (Img 2),TUE,09:45 AM,10:45 AM,B7,DE,VBY,409
SY CE/IT-II (Img 2),TUE,09:45 AM,10:45 AM,B8,FSD-1,MJT,406-4
SY CE/IT-II (Img 2),TUE,09:45 AM,10:45 AM,B9,PYTHON-1,PKV,406-5
SY CE/IT-II (Img 2),TUE,11:30 AM,12:30 PM,B1,PYTHON-1,DVP,406-1
SY CE/IT-II (Img 2),TUE,11:30 AM,12:30 PM,B2,DE,DPS,403
SY CE/IT-II (Img 2),TUE,11:30 AM,12:30 PM,B3,DE,VBY,406-3
SY CE/IT-II (Img 2),TUE,11:30 AM,12:30 PM,B4,PS,HRJ,404
SY CE/IT-II (Img 2),TUE,11:30 AM,12:30 PM,B5,PS,DDP,405
SY CE/IT-II (Img 2),TUE,11:30 AM,12:30 PM,B6,FSD-1,PSP,407
SY CE/IT-II (Img 2),TUE,11:30 AM,12:30 PM,B7,PS,MSS,409
SY CE/IT-II (Img 2),TUE,11:30 AM,12:30 PM,B8,PYTHON-1,TAT,406-4
SY CE/IT-II (Img 2),TUE,11:30 AM,12:30 PM,B9,DE,PDO,309-C
SY CE/IT-II (Img 2),TUE,12:30 PM,01:30 PM,B1,PYTHON-1,DVP,406-1
SY CE/IT-II (Img 2),TUE,12:30 PM,01:30 PM,B2,PS,MSS,403
SY CE/IT-II (Img 2),TUE,12:30 PM,01:30 PM,B3,DE,VBY,406-3
SY CE/IT-II (Img 2),TUE,12:30 PM,01:30 PM,B4,DE,DPS,404
SY CE/IT-II (Img 2),TUE,12:30 PM,01:30 PM,B5,PS,DDP,405
SY CE/IT-II (Img 2),TUE,12:30 PM,01:30 PM,B6,FSD-1,PSP,407
SY CE/IT-II (Img 2),TUE,12:30 PM,01:30 PM,B7,FSD-1,PBZ,406-5
SY CE/IT-II (Img 2),TUE,12:30 PM,01:30 PM,B8,PYTHON-1,TAT,406-4
SY CE/IT-II (Img 2),TUE,12:30 PM,01:30 PM,B9,DE,PDO,309-C
SY CE/IT-II (Img 2),WED,08:45 AM,09:45 AM,B1,FSD-1,NAS,406-1
SY CE/IT-II (Img 2),WED,08:45 AM,09:45 AM,B2,PS,MSS,403
SY CE/IT-II (Img 2),WED,08:45 AM,09:45 AM,B3,PS,DDP,404
SY CE/IT-II (Img 2),WED,08:45 AM,09:45 AM,B4,FSD-1,PSP,406-3
SY CE/IT-II (Img 2),WED,08:45 AM,09:45 AM,B5,PYTHON-1,SHP,407
SY CE/IT-II (Img 2),WED,08:45 AM,09:45 AM,B6,DE,PDO,405
SY CE/IT-II (Img 2),WED,08:45 AM,09:45 AM,B7,PYTHON-1,TAT,406-4
SY CE/IT-II (Img 2),WED,08:45 AM,09:45 AM,B8,DE,DPS,409
SY CE/IT-II (Img 2),WED,08:45 AM,09:45 AM,B9,PYTHON-1,PKV,406-5
SY CE/IT-II (Img 2),WED,09:45 AM,10:45 AM,B1,FSD-1,NAS,406-1
SY CE/IT-II (Img 2),WED,09:45 AM,10:45 AM,B2,PS,MSS,403
SY CE/IT-II (Img 2),WED,09:45 AM,10:45 AM,B3,PS,DDP,404
SY CE/IT-II (Img 2),WED,09:45 AM,10:45 AM,B4,FSD-1,PSP,406-3
SY CE/IT-II (Img 2),WED,09:45 AM,10:45 AM,B5,PYTHON-1,SHP,407
SY CE/IT-II (Img 2),WED,09:45 AM,10:45 AM,B6,DE,PDO,405
SY CE/IT-II (Img 2),WED,09:45 AM,10:45 AM,B7,PYTHON-1,TAT,406-4
SY CE/IT-II (Img 2),WED,09:45 AM,10:45 AM,B8,DE,DPS,409
SY CE/IT-II (Img 2),WED,09:45 AM,10:45 AM,B9,PYTHON-1,PKV,406-5
SY CE/IT-II (Img 2),WED,11:30 AM,12:30 PM,B1,DE,PDO,403
SY CE/IT-II (Img 2),WED,11:30 AM,12:30 PM,B2,PYTHON-1,TAT,406-1
SY CE/IT-II (Img 2),WED,11:30 AM,12:30 PM,B3,PYTHON-1,KMS,406-3
SY CE/IT-II (Img 2),WED,11:30 AM,12:30 PM,B4,DE,DPS,404
SY CE/IT-II (Img 2),WED,11:30 AM,12:30 PM,B5,DE,VBY,405
SY CE/IT-II (Img 2),WED,11:30 AM,12:30 PM,B6,FSD-1,PSP,407
SY CE/IT-II (Img 2),WED,11:30 AM,12:30 PM,B7,FSD-1,PBZ,406-4
SY CE/IT-II (Img 2),WED,11:30 AM,12:30 PM,B8,PS,HRJ,409
SY CE/IT-II (Img 2),WED,11:30 AM,12:30 PM,B9,FSD-1,NAS,406-5
SY CE/IT-II (Img 2),WED,12:30 PM,01:30 PM,B1,PS,DDP,403
SY CE/IT-II (Img 2),WED,12:30 PM,01:30 PM,B2,PYTHON-1,TAT,406-1
SY CE/IT-II (Img 2),WED,12:30 PM,01:30 PM,B3,PYTHON-1,KMS,406-3
SY CE/IT-II (Img 2),WED,12:30 PM,01:30 PM,B4,DE,DPS,404
SY CE/IT-II (Img 2),WED,12:30 PM,01:30 PM,B5,DE,VBY,405
SY CE/IT-II (Img 2),WED,12:30 PM,01:30 PM,B6,FSD-1,PSP,407
SY CE/IT-II (Img 2),WED,12:30 PM,01:30 PM,B7,FSD-1,PBZ,406-4
SY CE/IT-II (Img 2),WED,12:30 PM,01:30 PM,B8,PS,HRJ,409
SY CE/IT-II (Img 2),WED,12:30 PM,01:30 PM,B9,FSD-1,NAS,406-5
SY CE/IT-II (Img 2),THU,08:45 AM,09:45 AM,B1,PYTHON-1,DVP,406-1
SY CE/IT-II (Img 2),THU,08:45 AM,09:45 AM,B2,DE,DPS,403
SY CE/IT-II (Img 2),THU,08:45 AM,09:45 AM,B3,FSD-1,NAS,406-3
SY CE/IT-II (Img 2),THU,08:45 AM,09:45 AM,B4,PS,HRJ,404
SY CE/IT-II (Img 2),THU,08:45 AM,09:45 AM,B5,PS,DDP,405
SY CE/IT-II (Img 2),THU,08:45 AM,09:45 AM,B6,PYTHON-1,TAT,407
SY CE/IT-II (Img 2),THU,08:45 AM,09:45 AM,B7,PS,MSS,409
SY CE/IT-II (Img 2),THU,08:45 AM,09:45 AM,B8,FSD-1,MJT,406-4
SY CE/IT-II (Img 2),THU,08:45 AM,09:45 AM,B9,DE,PDO,309-C
SY CE/IT-II (Img 2),THU,09:45 AM,10:45 AM,B1,PYTHON-1,DVP,406-1
SY CE/IT-II (Img 2),THU,09:45 AM,10:45 AM,B2,DE,DPS,403
SY CE/IT-II (Img 2),THU,09:45 AM,10:45 AM,B3,FSD-1,NAS,406-3
SY CE/IT-II (Img 2),THU,09:45 AM,10:45 AM,B4,PS,HRJ,404
SY CE/IT-II (Img 2),THU,09:45 AM,10:45 AM,B5,DE,VBY,405
SY CE/IT-II (Img 2),THU,09:45 AM,10:45 AM,B6,PYTHON-1,TAT,407
SY CE/IT-II (Img 2),THU,09:45 AM,10:45 AM,B7,PS,MSS,409
SY CE/IT-II (Img 2),THU,09:45 AM,10:45 AM,B8,FSD-1,MJT,406-4
SY CE/IT-II (Img 2),THU,09:45 AM,10:45 AM,B9,DE,PDO,309-C
SY CE/IT-II (Img 2),THU,11:30 AM,12:30 PM,B1,PS,DDP,403
SY CE/IT-II (Img 2),THU,11:30 AM,12:30 PM,B2,FSD-1,PSP,406-1
SY CE/IT-II (Img 2),THU,11:30 AM,12:30 PM,B3,DE,VBY,404
SY CE/IT-II (Img 2),THU,11:30 AM,12:30 PM,B4,PYTHON-1,DVP,406-3
SY CE/IT-II (Img 2),THU,11:30 AM,12:30 PM,B5,FSD-1,PBZ,407
SY CE/IT-II (Img 2),THU,11:30 AM,12:30 PM,B6,DE,PDO,405
SY CE/IT-II (Img 2),THU,11:30 AM,12:30 PM,B7,PYTHON-1,TAT,406-4
SY CE/IT-II (Img 2),THU,11:30 AM,12:30 PM,B8,PS,HRJ,409
SY CE/IT-II (Img 2),THU,11:30 AM,12:30 PM,B9,FSD-1,NAS,406-5
SY CE/IT-II (Img 2),THU,12:30 PM,01:30 PM,B1,DE,PDO,403
SY CE/IT-II (Img 2),THU,12:30 PM,01:30 PM,B2,FSD-1,PSP,406-1
SY CE/IT-II (Img 2),THU,12:30 PM,01:30 PM,B3,DE,VBY,404
SY CE/IT-II (Img 2),THU,12:30 PM,01:30 PM,B4,PYTHON-1,DVP,406-3
SY CE/IT-II (Img 2),THU,12:30 PM,01:30 PM,B5,FSD-1,PBZ,407
SY CE/IT-II (Img 2),THU,12:30 PM,01:30 PM,B6,PS,MSS,405
SY CE/IT-II (Img 2),THU,12:30 PM,01:30 PM,B7,PYTHON-1,TAT,406-4
SY CE/IT-II (Img 2),THU,12:30 PM,01:30 PM,B8,PS,HRJ,409
SY CE/IT-II (Img 2),THU,12:30 PM,01:30 PM,B9,FSD-1,NAS,406-5
SY CE/IT-II (Img 2),FRI,08:45 AM,09:45 AM,B1,FSD-1,NAS,406-1
SY CE/IT-II (Img 2),FRI,08:45 AM,09:45 AM,B2,DE,DPS,403
SY CE/IT-II (Img 2),FRI,08:45 AM,09:45 AM,B3,PYTHON-1,KMS,406-3
SY CE/IT-II (Img 2),FRI,08:45 AM,09:45 AM,B4,PS,HRJ,404
SY CE/IT-II (Img 2),FRI,08:45 AM,09:45 AM,B5,PYTHON-1,SHP,516-B
SY CE/IT-II (Img 2),FRI,08:45 AM,09:45 AM,B6,PYTHON-1,TAT,407
SY CE/IT-II (Img 2),FRI,08:45 AM,09:45 AM,B7,PS,MSS,409
SY CE/IT-II (Img 2),FRI,08:45 AM,09:45 AM,B8,FSD-1,MJT,406-4
SY CE/IT-II (Img 2),FRI,08:45 AM,09:45 AM,B9,DE,PDO,309-C
SY CE/IT-II (Img 2),FRI,09:45 AM,10:45 AM,B1,FSD-1,NAS,406-1
SY CE/IT-II (Img 2),FRI,09:45 AM,10:45 AM,B2,DE,DPS,403
SY CE/IT-II (Img 2),FRI,09:45 AM,10:45 AM,B3,PYTHON-1,KMS,406-3
SY CE/IT-II (Img 2),FRI,09:45 AM,10:45 AM,B4,PS,HRJ,404
SY CE/IT-II (Img 2),FRI,09:45 AM,10:45 AM,B5,PYTHON-1,SHP,516-B
SY CE/IT-II (Img 2),FRI,09:45 AM,10:45 AM,B6,PYTHON-1,TAT,407
SY CE/IT-II (Img 2),FRI,09:45 AM,10:45 AM,B7,PS,MSS,409
SY CE/IT-II (Img 2),FRI,09:45 AM,10:45 AM,B8,FSD-1,MJT,406-4
SY CE/IT-II (Img 2),FRI,09:45 AM,10:45 AM,B9,DE,PDO,309-C
SY CE/IT-II (Img 2),FRI,11:30 AM,12:30 PM,B1,PYTHON-1,DVP,407
SY CE/IT-II (Img 2),FRI,11:30 AM,12:30 PM,B2,PYTHON-1,TAT,406-1
SY CE/IT-II (Img 2),FRI,11:30 AM,12:30 PM,B3,PS,DDP,404
SY CE/IT-II (Img 2),FRI,11:30 AM,12:30 PM,B4,FSD-1,PSP,406-3
SY CE/IT-II (Img 2),FRI,11:30 AM,12:30 PM,B5,DE,VBY,403
SY CE/IT-II (Img 2),FRI,11:30 AM,12:30 PM,B6,PS,MSS,405
SY CE/IT-II (Img 2),FRI,11:30 AM,12:30 PM,B7,FSD-1,PBZ,406-4
SY CE/IT-II (Img 2),FRI,11:30 AM,12:30 PM,B8,DE,DPS,409
SY CE/IT-II (Img 2),FRI,11:30 AM,12:30 PM,B9,PYTHON-1,PKV,406-5
SY CE/IT-II (Img 2),FRI,12:30 PM,01:30 PM,B1,PYTHON-1,DVP,407
SY CE/IT-II (Img 2),FRI,12:30 PM,01:30 PM,B2,PYTHON-1,TAT,406-1
SY CE/IT-II (Img 2),FRI,12:30 PM,01:30 PM,B3,PS,DDP,404
SY CE/IT-II (Img 2),FRI,12:30 PM,01:30 PM,B4,FSD-1,PSP,406-3
SY CE/IT-II (Img 2),FRI,12:30 PM,01:30 PM,B5,DE,VBY,403
SY CE/IT-II (Img 2),FRI,12:30 PM,01:30 PM,B6,PS,MSS,405
SY CE/IT-II (Img 2),FRI,12:30 PM,01:30 PM,B7,FSD-1,PBZ,406-4
SY CE/IT-II (Img 2),FRI,12:30 PM,01:30 PM,B8,DE,DPS,409
SY CE/IT-II (Img 2),FRI,12:30 PM,01:30 PM,B9,PYTHON-1,PKV,406-5
SY CE/IT-II (Img 2),SAT,08:45 AM,09:45 AM,B1,DE,PDO,406-1
SY CE/IT-II (Img 2),SAT,08:45 AM,09:45 AM,B2,PS,MSS,403
SY CE/IT-II (Img 2),SAT,08:45 AM,09:45 AM,B3,FSD-1,NAS,406-3
SY CE/IT-II (Img 2),SAT,08:45 AM,09:45 AM,B4,DE,DPS,404
SY CE/IT-II (Img 2),SAT,08:45 AM,09:45 AM,B5,PS,DDP,405
SY CE/IT-II (Img 2),SAT,08:45 AM,09:45 AM,B6,FSD-1,PSP,407
SY CE/IT-II (Img 2),SAT,08:45 AM,09:45 AM,B7,DE,VBY,409
SY CE/IT-II (Img 2),SAT,08:45 AM,09:45 AM,B8,PYTHON-1,TAT,406-4
SY CE/IT-II (Img 2),SAT,09:45 AM,10:45 AM,B1,DE,PDO,406-1
SY CE/IT-II (Img 2),SAT,09:45 AM,10:45 AM,B2,PS,MSS,403
SY CE/IT-II (Img 2),SAT,09:45 AM,10:45 AM,B3,FSD-1,NAS,406-3
SY CE/IT-II (Img 2),SAT,09:45 AM,10:45 AM,B4,DE,DPS,404
SY CE/IT-II (Img 2),SAT,09:45 AM,10:45 AM,B5,PS,DDP,405
SY CE/IT-II (Img 2),SAT,09:45 AM,10:45 AM,B6,FSD-1,PSP,407
SY CE/IT-II (Img 2),SAT,09:45 AM,10:45 AM,B7,DE,VBY,409
SY CE/IT-II (Img 2),SAT,09:45 AM,10:45 AM,B8,PYTHON-1,TAT,406-4
SY CE/IT-II (Img 2),SAT,11:30 AM,12:30 PM,B1,DE,PDO,403
SY CE/IT-II (Img 2),SAT,11:30 AM,12:30 PM,B2,FSD-1,PSP,406-1
SY CE/IT-II (Img 2),SAT,11:30 AM,12:30 PM,B3,DE,VBY,404
SY CE/IT-II (Img 2),SAT,11:30 AM,12:30 PM,B4,PYTHON-1,DVP,406-3
SY CE/IT-II (Img 2),SAT,11:30 AM,12:30 PM,B5,FSD-1,PBZ,407
SY CE/IT-II (Img 2),SAT,11:30 AM,12:30 PM,B6,PS,MSS,405
SY CE/IT-II (Img 2),SAT,11:30 AM,12:30 PM,B7,PYTHON-1,TAT,406-4
SY CE/IT-II (Img 2),SAT,11:30 AM,12:30 PM,B8,DE,DPS,409
SY CE/IT-II (Img 2),SAT,12:30 PM,01:30 PM,B1,PS,DDP,403
SY CE/IT-II (Img 2),SAT,12:30 PM,01:30 PM,B2,FSD-1,PSP,406-1
SY CE/IT-II (Img 2),SAT,12:30 PM,01:30 PM,B3,DE,VBY,404
SY CE/IT-II (Img 2),SAT,12:30 PM,01:30 PM,B4,PYTHON-1,DVP,406-3
SY CE/IT-II (Img 2),SAT,12:30 PM,01:30 PM,B5,FSD-1,PBZ,407
SY CE/IT-II (Img 2),SAT,12:30 PM,01:30 PM,B6,PS,MSS,405
SY CE/IT-II (Img 2),SAT,12:30 PM,01:30 PM,B7,PYTHON-1,TAT,406-4
SY CE/IT-II (Img 2),SAT,12:30 PM,01:30 PM,B8,PS,HRJ,409
